"","extraction_ID","date","destwell","sourcewell","destloc","sourceloc","sourcevol"
"1","E0165","2014-05-30","D1","G2","P12","P13",30
"2","E0167","2014-05-30","E1","A3","P12","P13",30
"3","E0215","2014-05-30","F1","H8","P12","P13",30
"4","E0226","2014-05-30","G1","D10","P12","P13",30
"5","E0228","2014-05-30","A5","F10","P12","P13",30
"6","E0250","2014-05-30","B5","D1","P12","P2",30
"7","E0328","2014-05-30","H1","B11","P12","P2",30
"8","E0378","2014-05-30","A1","D5","P12","P3",30
"9","E0474","2014-05-30","B1","D5","P12","P4",30
"10","E0485","2014-05-30","C1","G6","P12","P4",30
"11","E0492","2014-05-30","B6","F7","P12","P4",30
"12","E0516","2014-05-30","C6","F10","P12","P4",30
"13","E0570","2014-07-31","D3","D5","P12","P5",30
"14","E0727","2014-09-17","H6","A1","P12","P6",30
"15","E0772","2014-09-17","C2","F6","P12","P6",30
"16","E0792","2014-09-17","D8","B9","P12","P6",30
"17","E0867","2014-10-08","D4","E6","P12","P7",30
"18","E0921","2014-09-18","E3","C1","P12","P8",30
"19","E0922","2014-09-18","D2","D1","P12","P8",30
"20","E0923","2014-09-18","F3","E1","P12","P8",30
"21","E0924","2014-09-18","B3","F1","P12","P8",30
"22","E0925","2014-09-18","G3","G1","P12","P8",30
"23","E0926","2014-09-18","H3","H1","P12","P8",30
"24","E0928","2014-09-18","H5","B2","P12","P8",30
"25","E0931","2014-09-18","E5","E2","P12","P8",30
"26","E0933","2014-09-18","A4","G2","P12","P8",30
"27","E0950","2014-09-18","B4","H4","P12","P8",30
"28","E0962","2014-09-18","F5","D6","P12","P8",30
"29","E0963","2014-09-18","E2","E6","P12","P8",30
"30","E0968","2014-09-18","H4","B7","P12","P8",30
"31","E0974","2014-09-18","C4","H7","P12","P8",30
"32","E1068","2014-09-18","G6","F7","P12","P9",30
"33","E1095","2014-09-18","A2","A11","P12","P9",30
"34","E1108","2014-09-18","B2","F12","P12","P9",30
"35","E1218","2014-10-08","C3","D2","P12","P10",30
"36","E1245","2014-10-08","F2","G5","P12","P10",30
"37","E1297","2014-10-08","A6","C12","P12","P10",30
"38","E1350","2014-10-08","D6","H6","P12","P13",30
"39","E1382","2014-10-08","F4","H10","P12","P13",30
"40","E1385","2014-10-08","H2","C11","P12","P13",30
"41","E1388","2014-10-08","D5","F11","P12","P13",30
"42","E1394","2014-10-08","G4","D12","P12","P13",30
"43","E1397","2014-10-08","G5","G12","P12","P13",30
"44","E1478","2014-10-08","G2","H10","P12","P2",30
"45","E1480","2014-10-08","C5","B11","P12","P2",30
"46","E1483","2014-10-08","E4","E11","P12","P2",30
"47","E1488","2014-10-08","A3","B12","P12","P2",30
"48","E1866","2015-06-29","E6","D11","P12","P3",30
"49","E1867","2015-06-29","F6","E11","P12","P3",30
"50","E2448","2015-11-18","A8","G12","P12","P4",30
"51","E2499","2016-02-19","A7","B7","P12","P5",30
"52","E2521","2016-02-19","B7","H9","P12","P5",30
"53","E2538","2016-02-19","C7","A12","P12","P5",30
"54","E2588","2016-02-19","D7","C6","P12","P6",30
"55","E2617","2016-02-19","E7","H9","P12","P6",30
"56","E2632","2016-02-19","F7","G11","P12","P6",30
"57","E2744","2016-03-05","B8","G1","P12","P7",30
"58","E2757","2016-03-05","C8","D3","P12","P7",30
"59","E2851","2016-04-20","G7","F3","P12","P8",30
"60","E2852","2016-04-20","E8","A4","P12","P8",30
"61","E2931","2016-04-20","H7","B1","P12","P9",30
