"","extraction_ID","date","destwell","sourcewell","destloc","sourceloc","run","sourcevol"
"38","E1350","2014-10-08","D6","H6","P12","P13",2,30
"39","E1382","2014-10-08","F4","H10","P12","P13",2,30
"40","E1385","2014-10-08","H2","C11","P12","P13",2,30
"41","E1388","2014-10-08","D5","F11","P12","P13",2,30
"42","E1394","2014-10-08","G4","D12","P12","P13",2,30
"43","E1397","2014-10-08","G5","G12","P12","P13",2,30
"44","E1478","2014-10-08","G2","H10","P12","P2",2,30
"45","E1480","2014-10-08","C5","B11","P12","P2",2,30
"46","E1483","2014-10-08","E4","E11","P12","P2",2,30
"47","E1488","2014-10-08","A3","B12","P12","P2",2,30
"48","E1866","2015-06-29","E6","D11","P12","P3",2,30
"49","E1867","2015-06-29","F6","E11","P12","P3",2,30
"50","E2448","2015-11-18","A8","G12","P12","P4",2,30
"51","E2499","2016-02-19","A7","B7","P12","P5",2,30
"52","E2521","2016-02-19","B7","H9","P12","P5",2,30
"53","E2538","2016-02-19","C7","A12","P12","P5",2,30
"54","E2588","2016-02-19","D7","C6","P12","P6",2,30
"55","E2617","2016-02-19","E7","H9","P12","P6",2,30
"56","E2632","2016-02-19","F7","G11","P12","P6",2,30
"57","E2744","2016-03-05","B8","G1","P12","P7",2,30
"58","E2757","2016-03-05","C8","D3","P12","P7",2,30
"59","E2851","2016-04-20","G7","F3","P12","P8",2,30
"60","E2852","2016-04-20","E8","A4","P12","P8",2,30
"61","E2931","2016-04-20","H7","B1","P12","P9",2,30
