"","digest_ID","watervol","destloc","welldest","waterloc","waterwell","sourceloc","wellsource"
"1","D3001",17.99,"P11","A1","P12","A1","P12","A1"
"2","D3002",10.91,"P11","B1","P12","A1","P12","A1"
"3","D3012",8.75,"P11","C1","P12","A1","P12","A1"
"4","D3028",17.45,"P11","D1","P12","A1","P12","A1"
"5","D3030",15.47,"P11","E1","P12","A1","P12","A1"
"6","D3032",10.4,"P11","F1","P12","A1","P12","A1"
"7","D3033",18.12,"P11","G1","P12","A1","P12","A1"
"8","D3039",18.72,"P11","H1","P12","A1","P12","A1"
"9","D3040",9.62,"P11","A2","P12","A1","P12","A1"
"10","D3044",12.98,"P11","B2","P12","A1","P12","A1"
"11","D3048",19.24,"P11","C2","P12","A1","P12","A1"
"12","D3050",15.19,"P11","D2","P12","A1","P12","A1"
"13","D3051",18.5,"P11","E2","P12","A1","P12","A1"
"14","D3055",8.22,"P11","F2","P12","A1","P12","A1"
"15","D3056",19.33,"P11","G2","P12","A1","P12","A1"
"16","D3058",13.85,"P11","H2","P12","A1","P12","A1"
"17","D3059",18.07,"P11","A3","P12","A1","P12","A1"
"18","D3060",17.98,"P11","B3","P12","A1","P12","A1"
"19","D3062",8.46,"P11","C3","P12","A1","P12","A1"
"20","D3064",15.86,"P11","D3","P12","A1","P12","A1"
"21","D3066",17.72,"P11","E3","P12","A1","P12","A1"
"22","D3072",14.13,"P11","F3","P12","A1","P12","A1"
"23","D3079",10.08,"P11","G3","P12","A1","P12","A1"
"24","D3080",17.3,"P11","H3","P12","A1","P12","A1"
"25","D3083",16.54,"P11","A4","P12","A1","P12","A1"
"26","D3087",13.58,"P11","B4","P12","A1","P12","A1"
"27","D3089",13.74,"P11","C4","P12","A1","P12","A1"
"28","D3091",12.17,"P11","D4","P12","A1","P12","A1"
"29","D3092",18.66,"P11","E4","P12","A1","P12","A1"
"30","D3095",16.82,"P11","F4","P12","A1","P12","A1"
"31","D3100",12.56,"P11","G4","P12","A1","P12","A1"
"32","D3105",15.61,"P11","H4","P12","A1","P12","A1"
"33","D3107",18.45,"P11","A5","P12","A1","P12","A1"
"34","D3108",18.12,"P11","B5","P12","A1","P12","A1"
"35","D3111",16.2,"P11","C5","P12","A1","P12","A1"
"36","D3112",17.59,"P11","D5","P12","A1","P12","A1"
"37","D3117",19.41,"P11","E5","P12","A1","P12","A1"
"38","D3125",12,"P11","F5","P12","A1","P12","A1"
"39","D3126",17.97,"P11","G5","P12","A1","P12","A1"
"40","D3127",17.3,"P11","H5","P12","A1","P12","A1"
"41","D3135",9.29,"P11","A6","P12","A1","P12","A1"
"42","D3137",14.82,"P11","B6","P12","A1","P12","A1"
"43","D3141",15.67,"P11","C6","P12","A1","P12","A1"
"44","D3152",11.41,"P11","D6","P12","A1","P12","A1"
"45","D3160",18.52,"P11","E6","P12","A1","P12","A1"
"46","D3161",15.95,"P11","F6","P12","A1","P12","A1"
"47","D3164",11.92,"P11","G6","P12","A1","P12","A1"
"48","D3165",16.42,"P11","H6","P12","A1","P12","A1"
"49","D3166",18.77,"P11","A7","P12","A1","P12","A1"
"50","D3167",17.44,"P11","B7","P12","A1","P12","A1"
"51","D3169",17.69,"P11","C7","P12","A1","P12","A1"
"52","D3170",12.53,"P11","D7","P12","A1","P12","A1"
"53","D3171",19.14,"P11","E7","P12","A1","P12","A1"
"54","D3173",16.09,"P11","F7","P12","A1","P12","A1"
"55","D3174",15.66,"P11","G7","P12","A1","P12","A1"
"56","D3175",16.21,"P11","H7","P12","A1","P12","A1"
"57","D3176",16.11,"P11","A8","P12","A1","P12","A1"
"58","D3177",16.92,"P11","B8","P12","A1","P12","A1"
"59","D3178",15,"P11","C8","P12","A1","P12","A1"
"60","D3179",12.13,"P11","D8","P12","A1","P12","A1"
"61","D3180",19.45,"P11","E8","P12","A1","P12","A1"
"62","D3181",18.33,"P11","F8","P12","A1","P12","A1"
"63","D3183",16.02,"P11","G8","P12","A1","P12","A1"
"64","D3184",14.68,"P11","H8","P12","A1","P12","A1"
"65","D3185",9.58,"P11","A9","P12","A1","P12","A1"
"66","D3187",17.85,"P11","B9","P12","A1","P12","A1"
"67","D3188",12.78,"P11","C9","P12","A1","P12","A1"
"68","D3189",19.31,"P11","D9","P12","A1","P12","A1"
"69","D3191",8.53,"P11","E9","P12","A1","P12","A1"
"70","D3196",10.22,"P11","F9","P12","A1","P12","A1"
"71","D3198",14.15,"P11","G9","P12","A1","P12","A1"
"72","D3200",17.83,"P11","H9","P12","A1","P12","A1"
"73","D3201",17.68,"P11","A10","P12","A1","P12","A1"
"74","D3203",19.44,"P11","B10","P12","A1","P12","A1"
"75","D3209",11.55,"P11","C10","P12","A1","P12","A1"
"76","D3210",8.16,"P11","D10","P12","A1","P12","A1"
"77","D3211",12.75,"P11","E10","P12","A1","P12","A1"
"78","D3212",14.24,"P11","F10","P12","A1","P12","A1"
"79","D3215",14.63,"P11","G10","P12","A1","P12","A1"
"80","D3217",10.44,"P11","H10","P12","A1","P12","A1"
"81","D3221",11.97,"P11","A11","P12","A1","P12","A1"
"82","D3222",9.26,"P11","B11","P12","A1","P12","A1"
"83","D3223",13.04,"P11","C11","P12","A1","P12","A1"
"84","D3225",16.8,"P11","D11","P12","A1","P12","A1"
"85","D3227",18.47,"P11","E11","P12","A1","P12","A1"
"86","D3228",20.2,"P11","F11","P12","A1","P12","A1"
"87","D3229",20.09,"P11","G11","P12","A1","P12","A1"
"88","D3230",15.45,"P11","H11","P12","A1","P12","A1"
"89","D3231",17.8,"P11","A12","P12","A1","P12","A1"
"90","D3235",15.83,"P11","B12","P12","A1","P12","A1"
"91","D3236",16.14,"P11","C12","P12","A1","P12","A1"
"92","D3238",18.55,"P11","D12","P12","A1","P12","A1"
"93","D3242",18.76,"P11","E12","P12","A1","P12","A1"
"94","D3243",15.97,"P11","F12","P12","A1","P12","A1"
"95","D3244",11.42,"P11","G12","P12","A1","P12","A1"
"96","D3245",12.4,"P11","H12","P12","A1","P12","A1"
