"","extraction_ID","date","quant","digest_ID","ng_in"
"3465","E2968","2016-09-06",29.757,"D3247",892.71
"3466","E2969","2016-09-06",207.36,"D3248",6220.8
"3467","E2970","2016-09-06",160.62,"D3249",4818.6
"3468","E2971","2016-09-06",164.297,"D3250",4928.91
"3469","E2972","2016-09-06",50.678,"D3251",1520.34
"3470","E2973","2016-09-06",123.805,"D3252",3714.15
"3471","E2974","2016-09-06",96.356,"D3253",2890.68
"3472","E2975","2016-09-06",53.095,"D3254",1592.85
"3473","E2976","2016-09-06",198.99,"D3255",5969.7
"3474","E2977","2016-09-06",105.698,"D3256",3170.94
"3475","E2978","2016-09-06",82.108,"D3257",2463.24
"3477","E2980","2016-09-06",152.212,"D3258",4566.36
"3478","E2981","2016-09-06",180.188,"D3259",5405.64
"3479","E2982","2016-09-06",207.35,"D3260",6220.5
"3480","E2983","2016-09-06",178.433,"D3261",5352.99
"3481","E2984","2016-09-06",123.447,"D3262",3703.41
"3482","E2985","2016-09-06",175.261,"D3263",5257.83
"3483","E2986","2016-09-06",112.933,"D3264",3387.99
"3484","E2987","2016-09-06",178.627,"D3265",5358.81
"3485","E2988","2016-09-06",205.71,"D3266",6171.3
"3486","E2989","2016-09-06",184.36,"D3267",5530.8
"3487","E2990","2016-09-06",180.314,"D3268",5409.42
"3488","E2991","2016-09-06",156.996,"D3269",4709.88
"3489","E2992","2016-09-06",178.718,"D3270",5361.54
"3490","E2993","2016-09-06",190.429,"D3271",5712.87
"3491","E2994","2016-09-06",186.736,"D3272",5602.08
"3492","E2995","2016-09-06",120.458,"D3273",3613.74
"3493","E2996","2016-09-06",152.493,"D3274",4574.79
"3494","E2997","2016-09-06",48.418,"D3275",1452.54
"3495","E2998","2016-09-06",150.044,"D3276",4501.32
"3496","E2999","2016-09-06",28.606,"D3277",858.18
"3497","E3000","2016-09-06",124.285,"D3278",3728.55
"3498","E3001","2016-09-06",144.809,"D3279",4344.27
"3499","E3002","2016-09-06",79.776,"D3280",2393.28
"3500","E3003","2016-09-06",158.217,"D3281",4746.51
"3501","E3004","2016-09-06",146.218,"D3282",4386.54
"3502","E3005","2016-09-06",110.118,"D3283",3303.54
"3503","E3006","2016-09-06",191.015,"D3284",5730.45
"3504","E3007","2016-09-06",147.785,"D3285",4433.55
"3505","E3008","2016-09-06",142.358,"D3286",4270.74
"3506","E3009","2016-09-06",157.85,"D3287",4735.5
"3507","E3010","2016-09-06",27.958,"D3288",838.74
"3508","E3011","2016-09-06",65.317,"D3289",1959.51
"3509","E3012","2016-09-06",189.569,"D3290",5687.07
"3510","E3013","2016-09-06",214.119,"D3291",6423.57
"3512","E3015","2016-09-06",85.197,"D3292",2555.91
"3513","E3016","2016-09-06",62.725,"D3293",1881.75
"3514","E3017","2016-09-06",117.464,"D3294",3523.92
"3515","E3018","2016-09-06",31.337,"D3295",940.11
"3517","E3020","2016-09-06",99.463,"D3296",2983.89
"3518","E3021","2016-09-06",214.182,"D3297",6425.46
"3519","E3022","2016-09-06",62.691,"D3298",1880.73
"3520","E3023","2016-09-06",212.927,"D3299",6387.81
"3521","E3024","2016-09-06",179.153,"D3300",5374.59
"3522","E3025","2016-09-06",115.157,"D3301",3454.71
"3523","E3026","2016-09-06",32.778,"D3302",983.34
"3524","E3027","2016-09-06",167.284,"D3303",5018.52
"3526","E3029","2016-09-06",45.129,"D3304",1353.87
"3528","E3031","2016-09-06",101.796,"D3305",3053.88
"3529","E3032","2016-09-06",32.056,"D3306",961.68
"3530","E3033","2016-09-06",81.272,"D3307",2438.16
"3531","E3034","2016-09-06",171.171,"D3308",5135.13
"3532","E3035","2016-09-06",98.848,"D3309",2965.44
"3533","E3036","2016-09-06",214.254,"D3310",6427.62
"3534","E3037","2016-09-06",189.716,"D3311",5691.48
"3535","E3038","2016-09-06",140.316,"D3312",4209.48
"3536","E3039","2016-09-06",194.843,"D3313",5845.29
"3537","E3040","2016-09-06",26.546,"D3314",796.38
"3538","E3041","2016-09-06",162.047,"D3315",4861.41
"3539","E3042","2016-09-06",132.579,"D3316",3977.37
"3540","E3043","2016-09-06",91.935,"D3317",2758.05
"3541","E3044","2016-09-06",31.283,"D3318",938.49
"3542","E3045","2016-09-06",134.93,"D3319",4047.9
"3543","E3046","2016-09-06",91.868,"D3320",2756.04
"3545","E3048","2016-09-06",156.252,"D3321",4687.56
"3546","E3049","2016-09-06",95.661,"D3322",2869.83
"3547","E3050","2016-09-06",136.019,"D3323",4080.57
"3549","E3052","2016-09-06",59.866,"D3324",1795.98
"3551","E3054","2016-09-06",180.161,"D3325",5404.83
"3552","E3055","2016-09-06",156.882,"D3326",4706.46
"3553","E3056","2016-09-06",100.726,"D3327",3021.78
"3554","E3057","2016-09-06",130.518,"D3328",3915.54
"3555","E3058","2016-09-06",122.142,"D3329",3664.26
"3556","E3059","2016-09-06",54.896,"D3330",1646.88
"3557","E3060","2016-09-06",94.893,"D3331",2846.79
"3558","E3061","2016-09-06",75.155,"D3332",2254.65
"3559","E3062","2016-09-06",40.003,"D3333",1200.09
"3560","E3063","2016-09-06",173.449,"D3334",5203.47
"3561","E3064","2016-09-06",39.61,"D3335",1188.3
"3562","E3065","2016-09-06",107.797,"D3336",3233.91
"3563","E3066","2016-09-06",100.853,"D3337",3025.59
"3564","E3067","2016-09-06",158.137,"D3338",4744.11
"3565","E3068","2016-09-06",68.272,"D3339",2048.16
"3566","E3069","2016-09-06",47.938,"D3340",1438.14
"3567","E3070","2016-09-06",129.199,"D3341",3875.97
"3568","E3071","2016-09-06",35.582,"D3342",1067.46
